"","Estimate","Std. Error","z value","Pr(>|z|)"
"UniqueCarrierWN",-5.63582900884476e-13,959.536356943726,-5.87349188809871e-16,1
"UniqueCarrierXE",-1.50805203058519e-13,1105.94726638598,-1.36358403010771e-16,1
"UniqueCarrierYV",-6.18176317238571e-14,1208.96782449399,-5.11325698429822e-17,1
"ActualElapsedTime",-3.05339801512866e-13,69931.7049803567,-4.3662570732207e-18,1
"CRSElapsedTime",3.99515149466857e-13,69931.7598366693,5.7129285806614e-18,1
"AirTime",-6.17079814174684e-14,22.4688214794995,-2.74638264733959e-15,0.999999999999998
"ArrDelay",3.34092209891135e-13,69931.7042379585,4.77740695056294e-18,1
"DepDelay",-3.34676562856002e-13,69931.7042997522,-4.78576299844573e-18,1
"Distance",-2.21177168178632e-15,1.82717128611949,-1.21048951381216e-15,0.999999999999999
"TaxiIn",-3.38909914628004e-13,37.1244783224809,-9.12901486949046e-15,0.999999999999993
